2025-08-10 22:12:27,155 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-connector-basic-1.9.22.jar
2025-08-10 22:12:27,156 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-impl-1.9.22.jar
2025-08-10 22:12:27,156 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-named-locks-1.9.22.jar
2025-08-10 22:12:27,157 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-provider-3.9.9.jar
2025-08-10 22:12:27,158 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-spi-1.9.22.jar
2025-08-10 22:12:27,158 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-transport-file-1.9.22.jar
2025-08-10 22:12:27,159 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-transport-http-1.9.22.jar
2025-08-10 22:12:27,159 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-transport-wagon-1.9.22.jar
2025-08-10 22:12:27,160 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-resolver-util-1.9.22.jar
2025-08-10 22:12:27,160 [Worker-0: Launching Executing clean in C__Users_Apoorva_Documents_workspace-sts1_course-service] INFO  o.eclipse.m2e.core.internal.Bundles - 	Entry: C:\Users\Apoorva\Downloads\spring-tools-for-eclipse-4.31.0.RELEASE-e4.36.0-win32.win32.x86_64\sts-4.31.0.RELEASE\plugins\org.eclipse.m2e.maven.runtime_3.9.900.20250220-2013\jars\maven-settings-3.9.9.jar
